模型,acc_t,f1_t,auc_T,acc,f1,auc
KNN,0.699567287784679,0.7661133523884374,0.699567287784679,0.358,0.2829507159507159,0.43976190476190474
MLP,1.0,1.0,1.0,0.626,0.22184126984126984,0.4930357142857143
RF,0.9772153209109731,0.9772820833420977,0.9772153209109731,0.614,0.19284126984126984,0.48267857142857146
SVM,0.9722732919254657,0.9725798176304781,0.9722732919254657,0.696,0.15314285714285714,0.49797619047619046
XGBoost,0.9251966873706005,0.9272843007616032,0.9251966873706005,0.63,0.3413809523809524,0.5720833333333334
